16310,8988,1385078400
6555,8988,1400803200
6555,1038,1400803200
6555,614,1400803200
16903,8988,1372982400
16903,2122,1372982400
16903,8920,1372982400
18213,8988,1389225600
25597,6853,1402444800
11912,6853,1390867200
13014,1892,1276128000
23729,1892,1376697600
23729,6298,1376697600
23729,8537,1376697600
8838,7326,1373673600
4520,7326,1389139200
13551,7326,1362355200
13551,2176,1362355200
17545,7326,1369699200
17545,6954,1369699200
17545,5640,1369699200
17545,9841,1369699200
17545,8416,1369699200
2618,7326,1349308800
505,7326,1333497600
505,3939,1333497600
505,2100,1333497600
505,5509,1333497600
7556,6519,1370390400
7556,5435,1370390400
7981,6519,1393718400
12298,6519,1392854400
12298,3960,1392854400
12298,8629,1392854400
12056,6519,1366675200
12056,7137,1366675200
12056,2880,1366675200
30092,6519,1369785600
30520,367,1400371200
26501,367,1403654400
24956,367,1398556800
17638,367,1383782400
17638,9155,1383782400
20603,6980,1402099200
21305,6980,1404345600
13997,1939,1389484800
7931,5781,1386547200
28152,5781,1371600000
15411,5781,1366156800
23092,5781,1373414400
5945,5781,1367366400
25456,5781,1348531200
25456,3881,1348531200
30378,5781,1402444800
12956,5781,1389744000
18497,5781,1384387200
18497,2332,1384387200
7079,5781,1399852800
21264,5781,1389744000
21264,1695,1389744000
21264,7434,1389744000
28632,5781,1388620800
26586,2255,1300492800
2593,2255,1354579200
2593,4510,1354579200
19964,2255,1327622400
15101,4510,1355875200
15101,3899,1355875200
15101,4974,1355875200
24802,8046,1320278400
732,1128,1394668800
732,7437,1394668800
732,7041,1394668800
732,2132,1394668800
732,1360,1394668800
732,208,1394668800
30330,1128,1401321600
30330,6349,1401321600
26046,1028,1379203200
26046,719,1379203200
17185,1028,1386460800
3440,1028,1209254400
27007,7481,1385683200
27007,4624,1385683200
27007,9868,1385683200
25623,7060,1379289600
25623,1588,1379289600
18268,4409,1369958400
19683,4409,1133827200
28727,5650,1384473600
662,5650,1384214400
29888,5650,1365984000
16308,5650,1402444800
9461,5650,1341792000
20931,5650,1403913600
20931,957,1403913600
20931,9885,1403913600
25740,5650,1389484800
25740,5412,1389484800
25740,9218,1389484800
7598,5650,1367280000
7598,4455,1367280000
7598,6990,1367280000
18832,5650,1375401600
18832,6276,1375401600
18832,2237,1375401600
28313,5650,1384387200
28313,8252,1384387200
28313,1091,1384387200
11967,5650,1372032000
13826,5650,1401667200
13826,9594,1401667200
13826,1989,1401667200
27591,5650,1403913600
20449,1902,1400716800
23886,1902,1248134400
23886,9525,1248134400
23886,1159,1248134400
23886,243,1248134400
23886,5552,1248134400
257,1902,1400198400
13895,1902,1399248000
20062,1902,1404950400
20062,4988,1404950400
15866,1902,1397174400
7908,1902,1356220800
7908,9303,1356220800
7908,6970,1356220800
1580,1902,1404086400
13377,1902,1379289600
13377,8611,1379289600
30140,1902,1381881600
12105,8296,1373155200
19587,8296,1404950400
12465,8296,1396051200
12465,7394,1396051200
12465,597,1396051200
5057,8296,1390089600
5057,4810,1390089600
5057,595,1390089600
5057,4860,1390089600
5057,4767,1390089600
5057,1644,1390089600
5057,4191,1390089600
16465,8296,1392508800
21476,8296,1399852800
30220,8296,1401840000
30220,8194,1401840000
3152,9293,1371081600
10726,9465,1200700800
17549,9465,1388534400
18393,9465,1389398400
9108,3731,1131062400
4844,3731,1165363200
3837,3731,1389484800
3837,1020,1389484800
13202,3731,1187913600
5850,3095,1399852800
5850,8371,1399852800
5850,4915,1399852800
5850,3699,1399852800
